iter	Passed	Remaining
0	238	238417
1	386	193061
2	580	193003
3	709	176734
4	941	187381
5	1038	172011
6	1162	164844
7	1233	152936
8	1285	141497
9	1329	131633
10	1379	124065
11	1420	116918
12	1466	111349
13	1514	106644
14	1565	102777
15	1604	98656
16	1638	94747
17	1673	91292
18	1707	88159
19	1737	85131
20	1768	82456
21	1801	80095
22	1835	77958
23	1883	76589
24	1929	75233
25	1968	73744
26	1996	71965
27	2033	70575
28	2063	69077
29	2095	67756
30	2126	66464
31	2157	65258
32	2189	64167
33	2221	63103
34	2256	62216
35	2288	61291
36	2323	60460
37	2355	59625
38	2386	58804
39	2415	57983
40	2445	57191
41	2478	56534
42	2511	55887
43	2540	55200
44	2571	54571
45	2602	53963
46	2637	53476
47	2673	53029
48	2703	52470
49	2733	51941
50	2766	51480
51	2798	51014
52	2829	50559
53	2863	50159
54	2891	49677
55	2923	49281
56	2955	48889
57	2984	48469
58	3013	48059
59	3044	47699
60	3074	47327
61	3104	46973
62	3132	46590
63	3163	46271
64	3193	45942
65	3227	45678
66	3262	45430
67	3291	45114
68	3321	44819
69	3353	44551
70	3383	44266
71	3413	43996
72	3443	43722
73	3471	43445
74	3501	43187
75	3532	42942
76	3573	42831
77	3608	42656
78	3646	42507
79	3681	42335
80	3709	42091
81	3738	41851
82	3767	41622
83	3797	41416
84	3829	41226
85	3858	41007
86	3892	40846
87	3920	40628
88	3953	40463
89	3988	40323
90	4020	40164
91	4053	40001
92	4086	39856
93	4116	39678
94	4146	39501
95	4175	39321
96	4210	39195
97	4240	39025
98	4268	38851
99	4297	38680
100	4325	38500
101	4361	38396
102	4392	38251
103	4417	38057
104	4444	37888
105	4477	37761
106	4509	37637
107	4542	37520
108	4578	37428
109	4609	37291
110	4639	37157
111	4672	37043
112	4703	36922
113	4730	36762
114	4758	36618
115	4785	36471
116	4812	36318
117	4844	36211
118	4876	36101
119	4907	35985
120	4933	35836
121	4959	35690
122	4987	35561
123	5013	35415
124	5039	35278
125	5066	35146
126	5105	35095
127	5141	35026
128	5168	34900
129	5197	34784
130	5224	34654
131	5250	34525
132	5282	34438
133	5317	34364
134	5348	34272
135	5373	34138
136	5402	34034
137	5431	33924
138	5460	33826
139	5493	33744
140	5521	33636
141	5557	33576
142	5623	33702
143	5649	33584
144	5681	33503
145	5708	33391
146	5732	33262
147	5768	33207
148	5800	33127
149	5826	33017
150	5851	32901
151	5880	32807
152	5906	32700
153	5933	32593
154	5959	32489
155	5987	32393
156	6017	32311
157	6044	32210
158	6070	32108
159	6100	32027
160	6129	31943
161	6156	31847
162	6185	31762
163	6218	31701
164	6252	31642
165	6285	31578
166	6312	31487
167	6339	31397
168	6368	31314
169	6396	31230
170	6422	31135
171	6453	31068
172	6487	31010
173	6518	30942
174	6547	30866
175	6578	30800
176	6609	30730
177	6636	30648
178	6662	30560
179	6694	30495
180	6721	30413
181	6748	30330
182	6781	30275
183	6808	30195
184	6841	30140
185	6877	30097
186	6906	30025
187	6933	29946
188	6958	29859
189	6989	29796
190	7020	29737
191	7049	29666
192	7076	29589
193	7104	29518
194	7133	29449
195	7168	29403
196	7196	29332
197	7223	29258
198	7249	29182
199	7275	29102
200	7305	29041
201	7333	28969
202	7358	28890
203	7385	28818
204	7414	28755
205	7447	28703
206	7476	28642
207	7511	28602
208	7552	28584
209	7595	28573
210	7628	28523
211	7665	28491
212	7696	28436
213	7724	28370
214	7750	28297
215	7779	28235
216	7816	28203
217	7846	28146
218	7875	28085
219	7904	28023
220	7945	28008
221	7971	27934
222	7999	27871
223	8026	27807
224	8052	27737
225	8082	27679
226	8112	27625
227	8138	27557
228	8163	27485
229	8192	27425
230	8218	27359
231	8243	27290
232	8272	27233
233	8298	27166
234	8330	27117
235	8362	27070
236	8389	27008
237	8413	26938
238	8437	26867
239	8463	26801
240	8491	26743
241	8520	26687
242	8547	26626
243	8572	26562
244	8601	26507
245	8627	26443
246	8653	26379
247	8681	26324
248	8713	26281
249	8741	26223
250	8807	26281
251	8841	26244
252	8876	26209
253	8909	26165
254	8940	26120
255	8967	26060
256	8993	26000
257	9020	25942
258	9047	25885
259	9075	25830
260	9104	25777
261	9132	25724
262	9159	25667
263	9188	25616
264	9216	25563
265	9241	25502
266	9266	25440
267	9295	25388
268	9324	25339
269	9352	25285
270	9379	25231
271	9407	25179
272	9436	25128
273	9461	25069
274	9488	25015
275	9517	24967
276	9543	24908
277	9569	24853
278	9596	24798
279	9623	24744
280	9653	24700
281	9685	24660
282	9714	24612
283	9744	24566
284	9775	24524
285	9813	24500
286	9847	24463
287	9879	24424
288	9921	24408
289	9956	24375
290	9988	24335
291	10013	24279
292	10043	24235
293	10072	24188
294	10101	24140
295	10130	24094
296	10161	24053
297	10189	24002
298	10220	23961
299	10247	23911
300	10280	23873
301	10310	23830
302	10338	23782
303	10374	23753
304	10411	23723
305	10442	23684
306	10477	23651
307	10522	23641
308	10553	23601
309	10590	23573
310	10622	23534
311	10649	23482
312	10673	23427
313	10700	23378
314	10726	23326
315	10758	23286
316	10791	23250
317	10829	23225
318	10857	23178
319	10886	23134
320	10919	23097
321	10947	23049
322	10973	22999
323	10998	22947
324	11025	22898
325	11053	22853
326	11080	22803
327	11112	22766
328	11139	22719
329	11171	22681
330	11203	22643
331	11230	22596
332	11259	22553
333	11290	22512
334	11320	22471
335	11349	22428
336	11419	22466
337	11445	22415
338	11474	22374
339	11504	22332
340	11537	22296
341	11563	22246
342	11587	22195
343	11619	22158
344	11647	22113
345	11673	22064
346	11700	22018
347	11728	21973
348	11757	21932
349	11785	21886
350	11813	21843
351	11839	21796
352	11869	21754
353	11900	21716
354	11927	21670
355	11955	21628
356	11984	21586
357	12012	21541
358	12042	21502
359	12069	21456
360	12097	21413
361	12124	21368
362	12153	21328
363	12184	21288
364	12212	21246
365	12236	21197
366	12261	21149
367	12287	21102
368	12315	21060
369	12344	21019
370	12370	20972
371	12395	20924
372	12428	20891
373	12453	20845
374	12478	20797
375	12505	20753
376	12533	20711
377	12560	20668
378	12585	20621
379	12615	20582
380	12641	20538
381	12665	20490
382	12694	20450
383	12721	20407
384	12747	20362
385	12774	20320
386	12804	20281
387	12834	20244
388	12862	20203
389	12888	20159
390	12915	20116
391	12940	20070
392	12969	20032
393	12996	19989
394	13024	19948
395	13057	19915
396	13083	19872
397	13111	19831
398	13140	19792
399	13171	19756
400	13199	19717
401	13226	19675
402	13254	19635
403	13282	19595
404	13315	19561
405	13349	19531
406	13388	19507
407	13432	19489
408	13510	19522
409	13546	19493
410	13575	19454
411	13604	19416
412	13645	19393
413	13680	19363
414	13709	19325
415	13737	19285
416	13763	19242
417	13795	19207
418	13825	19170
419	13853	19130
420	13885	19096
421	13912	19055
422	13943	19020
423	13969	18977
424	13999	18940
425	14027	18901
426	14056	18862
427	14083	18821
428	14115	18788
429	14146	18752
430	14184	18726
431	14218	18694
432	14255	18666
433	14285	18630
434	14315	18593
435	14343	18554
436	14371	18515
437	14403	18481
438	14464	18484
439	14517	18476
440	14550	18444
441	14593	18423
442	14620	18382
443	14645	18340
444	14673	18300
445	14702	18262
446	14730	18223
447	14754	18179
448	14779	18137
449	14805	18096
450	14836	18060
451	14865	18023
452	14892	17982
453	14917	17939
454	14945	17901
455	14969	17857
456	14992	17813
457	15015	17769
458	15045	17733
459	15070	17691
460	15094	17649
461	15125	17613
462	15152	17574
463	15177	17533
464	15204	17493
465	15230	17452
466	15255	17411
467	15281	17370
468	15306	17329
469	15331	17288
470	15357	17249
471	15384	17209
472	15410	17169
473	15436	17129
474	15464	17092
475	15491	17053
476	15514	17010
477	15541	16972
478	15568	16934
479	15594	16894
480	15623	16857
481	15648	16817
482	15675	16779
483	15703	16742
484	15728	16701
485	15753	16661
486	15778	16621
487	15803	16581
488	15827	16539
489	15850	16497
490	15876	16458
491	15900	16417
492	15928	16380
493	15955	16342
494	15981	16304
495	16004	16262
496	16027	16221
497	16051	16180
498	16076	16141
499	16101	16101
500	16125	16061
501	16153	16024
502	16181	15988
503	16209	15951
504	16233	15912
505	16257	15872
506	16281	15831
507	16306	15792
508	16332	15754
509	16368	15726
510	16395	15689
511	16421	15651
512	16448	15615
513	16473	15576
514	16500	15539
515	16533	15508
516	16558	15469
517	16583	15430
518	16607	15391
519	16632	15353
520	16658	15315
521	16684	15277
522	16712	15242
523	16743	15209
524	16768	15171
525	16793	15133
526	16815	15092
527	16839	15053
528	16869	15019
529	16894	14981
530	16920	14944
531	16944	14906
532	16971	14869
533	16995	14831
534	17022	14794
535	17049	14759
536	17072	14720
537	17097	14682
538	17121	14643
539	17153	14611
540	17179	14575
541	17203	14537
542	17229	14500
543	17255	14464
544	17279	14426
545	17303	14387
546	17329	14351
547	17360	14319
548	17388	14284
549	17414	14248
550	17444	14214
551	17469	14178
552	17497	14143
553	17522	14106
554	17550	14071
555	17576	14036
556	17600	13998
557	17626	13962
558	17652	13925
559	17677	13889
560	17702	13852
561	17727	13816
562	17751	13778
563	17776	13741
564	17801	13705
565	17825	13668
566	17856	13636
567	17887	13604
568	17912	13568
569	17940	13534
570	17967	13499
571	17994	13464
572	18022	13430
573	18048	13395
574	18079	13363
575	18105	13327
576	18138	13297
